FL_DATE,FL_NUM,ORIGIN,DEST,CANCELLED
1/27/2011,6630,ACV,SMF,1
1/26/2011,6630,ACV,SMF,1
1/25/2011,6630,ACV,SMF,0
1/22/2011,6630,ACV,SMF,0
1/21/2011,6630,ACV,SMF,1
1/20/2011,6630,ACV,SMF,0
1/17/2011,6630,ACV,SMF,1
1/18/2011,6630,ACV,SMF,0
1/19/2011,6630,ACV,SMF,0
1/15/2011,6630,ACV,SMF,0
1/11/2011,6630,ACV,SMF,0
1/10/2011,6630,ACV,SMF,0
1/7/2011,6630,ACV,SMF,0
1/8/2011,6630,ACV,SMF,0
1/6/2011,6630,ACV,SMF,1
1/14/2011,6630,ACV,SMF,1
1/13/2011,6630,ACV,SMF,0
1/12/2011,6630,ACV,SMF,0
1/28/2011,6630,ACV,SMF,1
1/31/2011,6630,ACV,SMF,0
1/29/2011,6630,ACV,SMF,0
1/5/2011,6630,ACV,SMF,1
1/4/2011,6630,ACV,SMF,0
1/19/2011,6921,ACV,SFO,0
1/22/2011,6921,ACV,SFO,0
1/23/2011,6921,ACV,SFO,0
1/21/2011,6921,ACV,SFO,0
1/20/2011,6921,ACV,SFO,0
1/24/2011,6921,ACV,SFO,0
1/27/2011,6921,ACV,SFO,0
1/26/2011,6921,ACV,SFO,0
1/25/2011,6921,ACV,SFO,0
1/14/2011,6921,ACV,SFO,0
1/16/2011,6921,ACV,SFO,0
1/17/2011,6921,ACV,SFO,1
1/18/2011,6921,ACV,SFO,1
1/15/2011,6921,ACV,SFO,0
1/10/2011,6921,ACV,SFO,0
1/11/2011,6921,ACV,SFO,0
1/7/2011,6921,ACV,SFO,0
1/8/2011,6921,ACV,SFO,0
1/6/2011,6921,ACV,SFO,0
1/9/2011,6921,ACV,SFO,0
1/12/2011,6921,ACV,SFO,0
1/13/2011,6921,ACV,SFO,0
1/28/2011,6921,ACV,SFO,0
1/30/2011,6921,ACV,SFO,0
1/31/2011,6921,ACV,SFO,0
1/29/2011,6921,ACV,SFO,0
1/5/2011,6921,ACV,SFO,0
1/4/2011,6921,ACV,SFO,0
1/3/2011,6558,ACV,SFO,0
1/2/2011,6558,ACV,SFO,0
1/1/2011,6846,ACV,SFO,0
1/22/2011,6935,ACV,CEC,0
1/15/2011,6935,ACV,CEC,0
1/8/2011,6935,ACV,CEC,0
1/29/2011,6935,ACV,CEC,0
1/5/2011,6935,ACV,CEC,0
1/4/2011,6935,ACV,CEC,0
1/19/2011,6935,ACV,CEC,0
1/21/2011,6935,ACV,CEC,0
1/20/2011,6935,ACV,CEC,0
1/24/2011,6935,ACV,CEC,0
1/27/2011,6935,ACV,CEC,0
1/26/2011,6935,ACV,CEC,0
1/25/2011,6935,ACV,CEC,0
1/14/2011,6935,ACV,CEC,0
1/17/2011,6935,ACV,CEC,0
1/18/2011,6935,ACV,CEC,0
1/10/2011,6935,ACV,CEC,0
1/11/2011,6935,ACV,CEC,0
1/7/2011,6935,ACV,CEC,0
1/6/2011,6935,ACV,CEC,0
1/12/2011,6935,ACV,CEC,0
1/13/2011,6935,ACV,CEC,0
1/28/2011,6935,ACV,CEC,0
1/31/2011,6935,ACV,CEC,0
1/3/2011,6948,ACV,CEC,1
